Tarih,Tweet
2026-03-11 00:24,"İŞÇİNİN TAZMİNAT ALACAĞI 10 HAKLI NEDEN!  1) SGK primlerinin eksik bildirilmesi,  2) Vardiya düzeninin keyfi şekilde değiştirilmesi,  3) Çalışana sürekli istifa baskısı yapılması,  4) Maaşın geç, eksik ya da hiç ödenmemesi,  5) Yemek, yol, servis gibi sosyal hakların kesilmesi,  6) Yıllık izin parasının peşin verilmemesi,  7) Fazla mesai ücretlerinin ödenmemesi veya eksik yatırılması,  8) Ödemenin banka yerine tamamen ya da kısmen elden yapılması,  9) Raporlu günlerin devamsızlık olarak gösterilmesi,  10) Çalışanın aşırı kamera veya dinleme cihazlarıyla sürekli izlenmesi,  11) Doğum sonrası kısa çalışma hakkının kullandırılmaması."
2026-03-11 00:24,"#işhukuku #kıdemtazminatı  #işçi #işçihakkı #izin #FazlaMesai #İbra #sgk #işeiade #arabulucu #ihbar #yıllıkücretliizin #haftatatili #sendika #disk #Türkİş #işçihakkı #işkazası, #istifa, #maluliyet #4a #emekli #EYT #mobbing #vardiya #toplusözleşme #TİS #cemalettingürler"
2026-03-11 00:31,Onlar zaten istifa edecekti çünkü devleti kullanarak müşteri toplayan kesim
2026-03-11 00:31,"Büyük bir özel bankada müşteri ilişkileri yöneticisi olan ve istifa eden bir kadın tanıdık butik açtı istanbuldan toptan giysi alıp mağazada satıyor, kaç yıldır işletmesi de batmadı, belki de bankadan dolayı oluşturduğu portföyün etkisi vardır müşterileri ondan çok olabilir"
2026-03-11 00:31,1.stadin konumu 2.ramazan ayına denk gelmesi 3.veysel ve Fuat çapadan beklenen istifa 4.baskanin taraftara müşteri gibi davranması 5.bilet politikaları 6.yonetim ve taraftarın arasındaki fikir ayrılığı 7.takimin oynadığı vasat futbol 8.stadin bakimsizligi  Daha devam edilebilir..
2026-03-11 00:31,"Son lig maçında vasat futbol,reisin gönderilmesi,fuat çapanın istifa etmemesi,bukadar şey olurken gönlümüz alınacağına yüksek bilet fiyatı uygulayıp beni müşteri olarak görmeleri. Biz tepki vermeden bu biletler 200 tl den satışa çıksa mın 25 bın kişi orda olurdu #samsunspor"
2026-03-11 00:31,maç kazanınca stoilov komutan . maç kaybedince stoilov istifa ! böyle göztepeli olunmaz. Bunlar taraftar değiş müşteri .
2026-03-11 00:31,Ya vadeli toplayıp nasıl pesin vergi ödeyeceğiz tamam kdv her ay var ama müşteri vadeyi çok uzattı saha da iş dönmüyor kitlendi bunu herkes biliyor #VergiSGKYapılandırma gelmeli ve @memetsimsek istifa etmelidir. Bizi anlamak istemiyor @MHP_Bilgi @bbpgenelmerkez @alibabacan
2026-03-11 00:31,"#FBvTS #TSvFB  Şampiyon olduğu sezon 2021-2022 dışında, son 10 sezonda sadece iki kere ilk 3’e girmiş 2 kere de 4. olmuş, onun dışında hiçbir başarısı olmayan Trabzonspor’un taraftarı, fener mağlubiyetinden sonra yönetim istifa diye bağırdı. Bu müşteri zihniyeti Beşiktaş taraftarının maç içinde oyuncularını ıslıklayarak, ilk başarısızlıkta teknik direktörü istifaya davet ederek çokça görevini yerine getirmişti. Bakmayın fb ve gs’de de bu müşterilerden çok var, sadece işleri tıkırında olduğu için fazla sesleri çıkmıyor. Türk futbolu umarım bir gün evrim geçirir…"
2026-03-11 00:31,@Digiturk üyelikten istifa ettim. Cayma bedeli ücreti aldınız ödedim. Dekoder  vs iade edeceğim izmirde sanırım bir servis var. Perşembe günü mesaj geldi iade etmezseniz 2000 lira ödeyecekmişim müşteri hizmetlerini arıyorum ne zamana kadar diye soracağım müşteri temsilcisine.
